runId,executionOrder,startedAt,endedAt,readerType,targetRows,indexMode,indexVerified,indexDefinition,repetition,durationNs,durationMs,durationSeconds,readCount,writeCount,commitCount,checksum,exitStatus,peakOldGenBytes,oldGenMeasurement,gcLogPath,explainArtifactPath,jvmOptions,countValid
m01-100000-off-offset-r1,1,2026-09-05T05:59:23.780507600Z,2026-09-05T05:59:30.470263100Z,OFFSET,100000,OFF,true,"ABSENT",1,6688339400,6688.339,6.688,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m01-100000-off-offset-r1.log","results/explain/100000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m02-100000-off-keyset-r1,2,2026-09-05T05:59:42.800713100Z,2026-09-05T05:59:47.734093Z,KEYSET,100000,OFF,true,"ABSENT",1,4932822200,4932.822,4.933,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m02-100000-off-keyset-r1.log","results/explain/100000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m03-100000-on-offset-r1,3,2026-09-05T06:00:01.276841100Z,2026-09-05T06:00:11.204090600Z,OFFSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,9926099500,9926.100,9.926,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m03-100000-on-offset-r1.log","results/explain/100000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m04-100000-on-keyset-r1,4,2026-09-05T06:00:26.055230800Z,2026-09-05T06:00:34.339382200Z,KEYSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",1,8282442000,8282.442,8.282,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m04-100000-on-keyset-r1.log","results/explain/100000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m05-100000-on-keyset-r2,5,2026-09-05T06:00:48.448333700Z,2026-09-05T06:00:53.082655600Z,KEYSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,4633834800,4633.835,4.634,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m05-100000-on-keyset-r2.log","results/explain/100000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m06-100000-on-offset-r2,6,2026-09-05T06:01:04.999038100Z,2026-09-05T06:01:12.133732100Z,OFFSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",2,7134173900,7134.174,7.134,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m06-100000-on-offset-r2.log","results/explain/100000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m07-100000-off-keyset-r2,7,2026-09-05T06:01:23.385463500Z,2026-09-05T06:01:28.407918500Z,KEYSET,100000,OFF,true,"ABSENT",2,5021040000,5021.040,5.021,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m07-100000-off-keyset-r2.log","results/explain/100000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m08-100000-off-offset-r2,8,2026-09-05T06:01:40.312455500Z,2026-09-05T06:01:46.466248100Z,OFFSET,100000,OFF,true,"ABSENT",2,6151573800,6151.574,6.152,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m08-100000-off-offset-r2.log","results/explain/100000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m09-100000-off-offset-r3,9,2026-09-05T06:01:57.854796900Z,2026-09-05T06:02:02.787072400Z,OFFSET,100000,OFF,true,"ABSENT",3,4931249500,4931.250,4.931,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m09-100000-off-offset-r3.log","results/explain/100000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m10-100000-off-keyset-r3,10,2026-09-05T06:02:11.216991800Z,2026-09-05T06:02:15.647262700Z,KEYSET,100000,OFF,true,"ABSENT",3,4428788500,4428.789,4.429,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m10-100000-off-keyset-r3.log","results/explain/100000-keyset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m11-100000-on-offset-r3,11,2026-09-05T06:02:24.426255300Z,2026-09-05T06:02:29.404607Z,OFFSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,4977280600,4977.281,4.977,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m11-100000-on-offset-r3.log","results/explain/100000-offset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m12-100000-on-keyset-r3,12,2026-09-05T06:02:37.497222200Z,2026-09-05T06:02:41.240255200Z,KEYSET,100000,ON,true,"CREATE INDEX idx_settlement_item_status_id ON public.settlement_item USING btree (status, id)",3,3741514800,3741.515,3.742,100000,100000,101,202165400000,COMPLETED,0,"MEASURED","results/gc/m12-100000-on-keyset-r3.log","results/explain/100000-keyset-on-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
m13-500000-off-offset-r1,13,2026-09-05T06:06:19.651144700Z,2026-09-05T06:07:39.389979200Z,OFFSET,500000,OFF,true,"ABSENT",1,79733722300,79733.722,79.734,500000,500000,501,4121634000000,COMPLETED,2421408,"MEASURED","results/gc/m13-500000-off-offset-r1.log","results/explain/500000-offset-off-*.json","-XX:+UseG1GC -Xms512m -Xmx512m",true
