"readerType","targetRows","indexMode","successfulRuns","meanDurationSeconds","minDurationSeconds","maxDurationSeconds","stddevDurationSeconds","growthVs100k","growthVs500k","offsetToKeysetRatio","meanPeakOldGenMiB","maxPeakOldGenMiB"
"KEYSET","100000","OFF","3","4.794","4.429","5.021","0.261","","","1.236","0.000","0.000"
"KEYSET","100000","ON","3","5.553","3.742","8.282","1.964","","","1.323","0.000","0.000"
"KEYSET","500000","OFF","3","12.105","9.239","15.803","2.744","2.525","","4.017","2.305","2.362"
"KEYSET","500000","ON","3","13.437","10.101","17.552","3.091","2.420","","3.104","2.292","2.308"
"KEYSET","1000000","OFF","3","19.504","18.933","20.549","0.740","4.068","1.611","9.082","2.317","2.342"
"KEYSET","1000000","ON","3","18.310","17.346","19.054","0.715","3.298","1.363","7.228","2.313","2.340"
"OFFSET","100000","OFF","3","5.924","4.931","6.688","0.735","","","1.236","0.000","0.000"
"OFFSET","100000","ON","3","7.346","4.977","9.926","2.026","","","1.323","0.000","0.000"
"OFFSET","500000","OFF","3","48.620","32.499","79.734","22.006","8.208","","4.017","2.304","2.319"
"OFFSET","500000","ON","3","41.703","32.779","48.477","6.587","5.677","","3.104","2.332","2.356"
"OFFSET","1000000","OFF","3","177.140","153.858","219.096","29.727","29.903","3.643","9.082","2.304","2.307"
"OFFSET","1000000","ON","3","132.354","124.424","136.705","5.616","18.018","3.174","7.228","2.321","2.354"
