"targetRows","readerType","indexMode","position","positionOrder","pageOffset","correspondingLastId","planningTimeMs","executionTimeMs","scanNodeType","selectedIndex","scanActualRows","returnedRows","examinedPerReturnedRow","rowsRemovedByFilter","sharedHitBlocks","sharedReadBlocks"
"100000","KEYSET","OFF","FIRST","1","0","0","0.160","0.288","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","0"
"100000","KEYSET","OFF","MIDDLE","2","50000","50000","0.456","2.256","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"100000","KEYSET","OFF","LAST","3","99000","99000","0.129","0.631","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"100000","OFFSET","OFF","FIRST","1","0","0","0.365","0.298","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","0"
"100000","OFFSET","OFF","MIDDLE","2","50000","50000","0.081","18.935","Index Scan","settlement_item_pkey","51000","1000","51.000","0","1182","0"
"100000","OFFSET","OFF","LAST","3","99000","99000","0.084","32.944","Index Scan","settlement_item_pkey","100000","1000","100.000","0","2316","0"
"100000","KEYSET","ON","FIRST","1","0","0","0.181","0.289","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","0"
"100000","KEYSET","ON","MIDDLE","2","50000","50000","0.144","0.621","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"100000","KEYSET","ON","LAST","3","99000","99000","0.162","0.826","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"100000","OFFSET","ON","FIRST","1","0","0","0.293","0.359","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","0"
"100000","OFFSET","ON","MIDDLE","2","50000","50000","0.128","45.277","Index Scan","settlement_item_pkey","51000","1000","51.000","0","1182","0"
"100000","OFFSET","ON","LAST","3","99000","99000","0.138","59.165","Index Scan","settlement_item_pkey","100000","1000","100.000","0","2316","0"
"500000","KEYSET","OFF","FIRST","1","0","0","0.202","0.442","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","KEYSET","OFF","MIDDLE","2","250000","250000","0.130","0.614","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","KEYSET","OFF","LAST","3","499000","499000","0.115","0.599","Index Scan","settlement_item_pkey","1000","1000","1.000","0","28","0"
"500000","OFFSET","OFF","FIRST","1","0","0","0.196","0.258","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","OFFSET","OFF","MIDDLE","2","250000","250000","0.071","52.523","Index Scan","settlement_item_pkey","251000","1000","251.000","0","5811","0"
"500000","OFFSET","OFF","LAST","3","499000","499000","0.104","92.141","Index Scan","settlement_item_pkey","500000","1000","500.000","0","11574","0"
"500000","KEYSET","ON","FIRST","1","0","0","0.182","0.391","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","KEYSET","ON","MIDDLE","2","250000","250000","0.088","0.322","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","KEYSET","ON","LAST","3","499000","499000","0.087","0.335","Index Scan","settlement_item_pkey","1000","1000","1.000","0","28","0"
"500000","OFFSET","ON","FIRST","1","0","0","0.251","0.454","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"500000","OFFSET","ON","MIDDLE","2","250000","250000","0.103","52.711","Index Scan","settlement_item_pkey","251000","1000","251.000","0","5811","0"
"500000","OFFSET","ON","LAST","3","499000","499000","0.113","88.458","Index Scan","settlement_item_pkey","500000","1000","500.000","0","11574","0"
"1000000","KEYSET","OFF","FIRST","1","0","0","0.174","0.290","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"1000000","KEYSET","OFF","MIDDLE","2","500000","500000","0.083","0.387","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","1"
"1000000","KEYSET","OFF","LAST","3","999000","999000","0.134","0.649","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","2"
"1000000","OFFSET","OFF","FIRST","1","0","0","0.257","0.370","Index Scan","settlement_item_pkey","1000","1000","1.000","0","1","25"
"1000000","OFFSET","OFF","MIDDLE","2","500000","500000","0.084","131.198","Index Scan","settlement_item_pkey","501000","1000","501.000","0","4","11592"
"1000000","OFFSET","OFF","LAST","3","999000","999000","0.097","220.363","Index Scan","settlement_item_pkey","1000000","1000","1000.000","0","25","23119"
"1000000","KEYSET","ON","FIRST","1","0","0","0.197","0.265","Index Scan","settlement_item_pkey","1000","1000","1.000","0","26","0"
"1000000","KEYSET","ON","MIDDLE","2","500000","500000","0.087","0.338","Index Scan","settlement_item_pkey","1000","1000","1.000","0","25","1"
"1000000","KEYSET","ON","LAST","3","999000","999000","0.105","0.382","Index Scan","settlement_item_pkey","1000","1000","1.000","0","27","1"
"1000000","OFFSET","ON","FIRST","1","0","0","0.330","0.403","Index Scan","settlement_item_pkey","1000","1000","1.000","0","1","25"
"1000000","OFFSET","ON","MIDDLE","2","500000","500000","0.085","81.728","Index Scan","settlement_item_pkey","501000","1000","501.000","0","11574","22"
"1000000","OFFSET","ON","LAST","3","999000","999000","0.097","232.742","Index Scan","settlement_item_pkey","1000000","1000","1000.000","0","7288","15856"
