"readerType","targetRows","indexMode","runs","meanProcessPauseCount","meanProcessPauseTotalMs","maxProcessPauseMs","meanYoungNormalPauseCount","meanYoungNormalPauseTotalMs","totalFullGcCount","maxOldRegions","meanStepPeakOldGenMiB","maxStepPeakOldGenMiB"
"KEYSET","100000","OFF","3","12.000","116.075","40.248","3.000","37.236","0","0","0.000","0.000"
"OFFSET","100000","OFF","3","12.000","121.519","36.418","3.000","37.227","0","0","0.000","0.000"
"KEYSET","100000","ON","3","12.000","108.853","32.089","3.000","38.509","0","0","0.000","0.000"
"OFFSET","100000","ON","3","12.000","111.285","33.978","3.000","41.273","0","0","0.000","0.000"
"KEYSET","500000","OFF","3","16.000","152.521","24.112","7.000","92.163","0","3","2.305","2.362"
"OFFSET","500000","OFF","3","16.000","155.247","30.783","7.000","97.908","0","3","2.304","2.319"
"KEYSET","500000","ON","3","16.000","157.500","28.413","7.000","101.270","0","3","2.292","2.308"
"OFFSET","500000","ON","3","16.000","148.652","23.945","7.000","88.905","0","3","2.333","2.356"
"KEYSET","1000000","OFF","3","21.000","198.961","22.122","12.000","146.577","0","3","2.317","2.342"
"OFFSET","1000000","OFF","3","21.000","288.607","115.152","12.000","236.898","0","3","2.304","2.307"
"KEYSET","1000000","ON","3","21.000","196.082","21.063","12.000","144.505","0","3","2.313","2.340"
"OFFSET","1000000","ON","3","21.000","195.736","18.748","12.000","146.597","0","3","2.321","2.354"
