readerType,targetRows,indexMode,successfulRuns,meanDurationMs,meanDurationSeconds,minDurationMs,maxDurationMs,stddevDurationMs,growthVs100k,growthVs500k,offsetToKeysetRatio,meanPeakOldGenBytes,maxPeakOldGenBytes
KEYSET,100000,OFF,3,4794.217,4.794,4428.789,5021.040,260.895,,,1.236,0.000,0
KEYSET,100000,ON,3,5552.597,5.553,3741.515,8282.442,1964.366,,,1.323,0.000,0
KEYSET,500000,OFF,3,12104.752,12.105,9238.549,15803.301,2743.914,2.525,,4.017,2416517.333,2476928
KEYSET,500000,ON,3,13437.282,13.437,10101.261,17551.695,3091.026,2.420,,3.104,2403354.667,2420288
KEYSET,1000000,OFF,3,19504.060,19.504,18932.894,20548.634,739.703,4.068,1.611,9.082,2429205.333,2456288
KEYSET,1000000,ON,3,18310.333,18.310,17346.080,19054.125,714.519,3.298,1.363,7.228,2424944.000,2453760
OFFSET,100000,OFF,3,5923.721,5.924,4931.250,6688.339,735.200,,,1.236,0.000,0
OFFSET,100000,ON,3,7345.851,7.346,4977.281,9926.100,2025.884,,,1.323,0.000,0
OFFSET,500000,OFF,3,48619.572,48.620,32498.901,79733.722,22005.839,8.208,,4.017,2415802.667,2431632
OFFSET,500000,ON,3,41703.495,41.703,32779.282,48476.893,6586.514,5.677,,3.104,2445728.000,2470016
OFFSET,1000000,OFF,3,177139.583,177.140,153858.252,219095.714,29727.010,29.903,3.643,9.082,2415696.000,2419136
OFFSET,1000000,ON,3,132354.104,132.354,124424.197,136704.825,5616.131,18.018,3.174,7.228,2433653.333,2468672
